1p. Locale broad type (name),1q. Census Region,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration
Rural,South,4.0,130.0,1.0,37125.0,0.025,6.881171233,60.94303
Town,Midwest,19.0,2167.0,7.0,53639.0,0.127,5.131668694,56.37001436
Suburban,Northeast,34.0,2314.0,6.0,58142.0,0.133,6.830194163,55.49399952
Town,South,17.0,1798.0,4.0,90692.0,0.037000000000000005,9.178608621,63.3181149
Suburban,Northeast,63.0,14999.0,24.0,68067.0,0.115,6.821587479,58.99031225
Rural,Midwest,7.0,405.0,3.0,50938.0,0.152,6.880272396,59.2482401
Suburban,South,143.0,26135.0,25.0,72343.0,0.10800000000000001,7.76923157,60.96362229
Rural,Midwest,19.0,1932.0,4.0,101847.0,0.065,8.139291557,58.41022908
Town,West,40.0,2572.0,7.0,83923.0,0.076,7.675814512,56.86431484
Suburban,Midwest,60.0,8470.0,13.0,99560.0,0.044000000000000004,9.144848574,59.79817065
Rural,Midwest,12.0,420.0,2.0,53542.0,0.125,6.91502742,55.62899144
Suburban,South,31.0,6026.0,7.0,132949.0,0.024,8.922640445,62.34921703
Suburban,Northeast,11.0,3913.0,7.0,142039.0,0.033,6.998088064,67.82805002
Suburban,Midwest,12.0,914.0,5.0,54482.0,0.111,10.27628134,63.65701051
Rural,South,24.0,1286.0,3.0,38854.0,0.174,8.172808318,57.91816664
Town,Midwest,35.0,2720.0,6.0,83536.0,0.055999999999999994,8.15916881,57.80638152
Rural,Midwest,73.0,4040.0,10.0,62773.0,0.096,8.704612755,60.03671604
Urban,Midwest,32.0,4380.0,9.0,48496.0,0.217,8.865624181,58.17502443
Suburban,South,249.0,20070.0,24.0,96084.0,0.054000000000000006,9.543092631,68.873716
Town,Northeast,32.0,1371.0,3.0,60182.0,0.1,6.229426463,53.9862491
Rural,South,16.0,645.0,3.0,45469.0,0.183,9.391309521,55.57315609
Rural,Midwest,11.0,519.0,4.0,63172.0,0.07200000000000001,5.696341017,55.48074384
Rural,Northeast,21.0,325.0,1.0,63438.0,0.276,8.342759041,67.2141002
Rural,South,8.0,494.0,2.0,55446.0,0.134,9.503908043,58.27426165
Suburban,South,24.0,3665.0,11.0,44032.0,0.273,9.775647268,65.03279711
Rural,Midwest,6.0,283.0,2.0,71316.0,0.135,8.767207215,57.21446502
Rural,West,11.0,187.0,2.0,85956.0,0.113,4.331679169,56.43457099
Rural,South,93.0,5977.0,10.0,27901.0,0.37200000000000005,10.21928955,53.46306733
Rural,Midwest,15.0,497.0,3.0,51109.0,0.133,8.560766871,60.55877724
Rural,Midwest,6.0,432.0,3.0,58654.0,0.083,7.581937658,56.28754663
Suburban,Northeast,43.0,1565.0,3.0,78125.0,0.045,7.136701698,56.99847849
Rural,Midwest,6.0,97.0,3.0,49196.0,0.11199999999999999,5.672000763,54.39226569
Rural,South,127.0,10234.0,22.0,63943.0,0.09699999999999999,7.564052799,60.33295384
Rural,South,72.0,3989.0,9.0,41157.0,0.23199999999999998,9.224755422,56.58057701
Urban,South,765.0,51979.0,92.0,50687.0,0.179,9.24385546,59.42447018
Rural,Midwest,2.0,721.0,2.0,67222.0,0.064,5.682195546,61.76739306
Rural,South,49.0,7869.0,10.0,131664.0,0.04,9.069259819,63.0723513
Rural,West,1.0,142.0,1.0,60583.0,0.11699999999999999,4.974333462,53.41432171
Rural,West,18.0,200.0,2.0,51862.0,0.165,6.565927805,59.35305109
Rural,Midwest,21.0,1261.0,3.0,60242.0,0.106,9.267258328,58.91812436
Town,Midwest,31.0,2102.0,7.0,67116.0,0.078,7.732778089,58.19553759
Rural,Midwest,16.0,596.0,2.0,49619.0,0.106,7.34871073,57.46703547
Rural,South,12.0,656.0,2.0,69265.0,0.099,8.737801174,60.29609614
Town,Midwest,27.0,2071.0,4.0,79660.0,0.07400000000000001,7.161557423,54.93097013
Rural,South,97.0,9255.0,15.0,86547.0,0.102,9.500821909,61.74751732
Rural,Midwest,7.0,358.0,2.0,45000.0,0.19899999999999998,7.365510437,56.14204464
Rural,South,8.0,360.0,3.0,40900.0,0.223,6.393523338,60.13141573
Rural,Northeast,7.0,1330.0,3.0,97402.0,0.06,6.309395254,59.77190575
Rural,South,70.0,3270.0,9.0,49968.0,0.159,8.794216038,57.8601264
Rural,South,57.0,2791.0,6.0,53196.0,0.172,9.251158641,58.59019769
Suburban,Midwest,19.0,1594.0,4.0,113644.0,0.036000000000000004,9.776637481,62.54385963
Town,South,22.0,1203.0,4.0,40435.0,0.266,8.660565252,63.05531332
Town,Northeast,26.0,2213.0,7.0,40438.0,0.193,5.648590939,52.32147658
Town,South,19.0,1503.0,5.0,61410.0,0.19,8.647762459,61.48952338
Rural,Midwest,23.0,642.0,2.0,60592.0,0.1,8.017365012,59.37359788
Suburban,Midwest,154.0,6705.0,3.0,118670.0,0.031,9.966342706,63.53429863
Rural,Northeast,4.0,163.0,2.0,39375.0,0.152,4.208629068,50.06436
Suburban,Northeast,13.0,6047.0,11.0,125701.0,0.046,7.14319968,56.84091757
Rural,South,33.0,1751.0,4.0,54420.0,0.158,7.854086047,61.10902811
Rural,Midwest,8.0,302.0,2.0,54479.0,0.10099999999999999,8.009380988,61.95353007
Town,West,11.0,1023.0,6.0,36662.0,0.233,4.272721011,61.23912671
Suburban,Midwest,343.0,35082.0,58.0,86845.0,0.085,9.700418735,64.68842867
Suburban,Midwest,42.0,3350.0,5.0,89315.0,0.017,8.364824905,59.45696207
Rural,South,16.0,582.0,3.0,53193.0,0.154,9.082064249,60.17580594
Town,South,40.0,3457.0,6.0,57911.0,0.10300000000000001,6.861959036,58.30559101
Suburban,Midwest,60.0,3726.0,7.0,58497.0,0.125,8.746843265,61.09763813
Rural,West,50.0,4693.0,12.0,74402.0,0.067,9.813147406,55.4069245
Suburban,Northeast,3.0,1744.0,4.0,102262.0,0.084,8.911483218,64.40647311
Rural,Midwest,16.0,560.0,2.0,69120.0,0.055,7.530690264,56.19676039
Rural,Midwest,13.0,295.0,2.0,58125.0,0.091,5.212852819,55.24376026
Town,Midwest,32.0,1626.0,4.0,60023.0,0.141,8.486434043,60.73073485
Rural,Midwest,16.0,827.0,4.0,48780.0,0.203,8.180832384,56.67059904
Rural,South,9.0,121.0,1.0,58646.0,0.057999999999999996,7.69863298,60.35556589
Rural,Midwest,11.0,446.0,3.0,57875.0,0.14300000000000002,7.132432612,54.22918937
Urban,Midwest,35.0,3022.0,4.0,76545.0,0.08800000000000001,7.283324769,55.63335889
Rural,South,18.0,760.0,4.0,58262.0,0.15,8.971884797,60.07313082
Rural,West,11.0,328.0,3.0,36786.0,0.185,3.438671783,57.65311227
Rural,Northeast,39.0,2229.0,8.0,52796.0,0.17,5.145081148,51.21687605
Town,Midwest,13.0,685.0,1.0,95054.0,0.10400000000000001,9.150048129,60.12590382
Suburban,Midwest,34.0,4650.0,9.0,59567.0,0.099,9.94863202,63.74446378
Town,West,3.0,1279.0,3.0,58449.0,0.27699999999999997,5.547632877,47.07373
Rural,West,4.0,20.0,2.0,31000.0,0.223,3.902797029,54.53027878
Rural,Midwest,26.0,1814.0,6.0,54616.0,0.136,6.748486627,57.85152152
Rural,West,11.0,232.0,2.0,66404.0,0.057,7.139214957,50.46098563
Rural,Midwest,12.0,866.0,4.0,61121.0,0.114,8.193018636,61.07758172
Rural,South,74.0,4131.0,6.0,57754.0,0.145,9.154334819,56.64277387
Rural,West,6.0,130.0,2.0,73518.0,0.102,5.607201168,45.53646891
Suburban,Midwest,12.0,3913.0,7.0,96879.0,0.059000000000000004,10.20833692,63.57303044
Rural,Midwest,11.0,253.0,2.0,48109.0,0.10300000000000001,6.036478481,54.85189131
Rural,Midwest,5.0,298.0,1.0,46115.0,0.13699999999999998,5.796434675,53.72660745
Town,Midwest,12.0,1066.0,4.0,55381.0,0.114,6.686077588,59.9785876
Town,Northeast,12.0,580.0,3.0,39009.0,0.187,4.146863014,49.56925
Rural,Midwest,5.0,35.0,1.0,55313.0,0.171,6.838041403,60.43327142
Rural,South,34.0,1657.0,7.0,39346.0,0.264,7.825123627,59.30633472
Urban,West,99.0,17452.0,34.0,84416.0,0.1,5.988354462,55.14573807
Rural,West,5.0,97.0,1.0,85481.0,0.109,6.625034507,52.90078946
Suburban,Northeast,29.0,2563.0,4.0,128606.0,0.047,7.548642138,66.56575604
Urban,Midwest,187.0,16072.0,15.0,120765.0,0.03,9.752080447,64.03336632
Rural,South,26.0,1856.0,3.0,105407.0,0.075,8.735854952,62.76462356
Urban,West,268.0,43716.0,44.0,95626.0,0.069,6.723879935,69.25359888
Rural,Midwest,13.0,532.0,3.0,64047.0,0.131,8.823047515,60.04257238
Suburban,Midwest,22.0,1124.0,3.0,109891.0,0.068,8.624776467,66.52989726
Suburban,Midwest,25.0,4923.0,9.0,77913.0,0.09,8.150697392,55.13920374
Rural,Midwest,2.0,70.0,1.0,72059.0,0.09,8.403991206,59.51590098
Rural,Northeast,12.0,390.0,2.0,67500.0,0.154,6.58918676,51.71778979
Rural,Northeast,4.0,59.0,1.0,75333.0,0.098,5.35071507,51.56268566
Rural,West,23.0,573.0,2.0,44829.0,0.156,4.117791512,64.22766845
Rural,South,4.0,131.0,1.0,61563.0,0.043,7.426816164,58.94219
Rural,South,16.0,773.0,3.0,71655.0,0.19899999999999998,8.623854094,63.05683931
Rural,Midwest,13.0,508.0,3.0,80465.0,0.068,5.590962462,57.0956808
Rural,Midwest,21.0,822.0,2.0,72632.0,0.044000000000000004,8.743966015,60.49091028
Urban,Midwest,49.0,6385.0,13.0,51626.0,0.161,7.366886038,56.46001431
Rural,Midwest,19.0,1523.0,4.0,106037.0,0.032,8.561554712,58.79125919
Town,South,87.0,9797.0,17.0,73113.0,0.102,8.482409669,58.89106848
Rural,Midwest,12.0,460.0,3.0,56389.0,0.11599999999999999,8.752684638,57.2655781
Suburban,Midwest,28.0,2036.0,7.0,69885.0,0.095,8.653943516,61.52541286
Rural,Northeast,3.0,185.0,1.0,41968.0,0.075,4.224845362,50.2222622
Town,Midwest,2.0,786.0,1.0,58009.0,0.11800000000000001,8.788942621,60.16940992
Rural,Midwest,22.0,1741.0,3.0,74761.0,0.06,6.968241318,56.09567362
Rural,Midwest,9.0,341.0,2.0,73664.0,0.08199999999999999,5.52290744,62.72393106
Rural,South,6.0,215.0,2.0,41417.0,0.132,7.19539435,59.34947996
Rural,Midwest,10.0,625.0,2.0,56283.0,0.129,7.033174301,55.85014928
Rural,West,2.0,75.0,1.0,51402.0,0.249,4.832289737,52.47772695
Town,West,35.0,1643.0,5.0,68681.0,0.162,3.474788036,60.78996345
Urban,Midwest,975.0,67500.0,156.0,45318.0,0.24100000000000002,8.69665421,60.47554416
Town,West,39.0,3440.0,9.0,49454.0,0.185,6.139120766,50.0700654
Rural,South,54.0,7339.0,9.0,122223.0,0.115,8.677901053,62.81464498
Rural,South,5.0,123.0,1.0,24861.0,0.3,9.088517171,60.64729556
Suburban,Northeast,63.0,3301.0,5.0,181329.0,0.049,7.91056423,72.2216997
Rural,Northeast,46.0,1835.0,4.0,73255.0,0.12,6.062409964,54.68206131
Town,South,78.0,4310.0,6.0,45134.0,0.21,8.999125763,61.45739492
Town,South,2.0,343.0,1.0,44958.0,0.129,7.666271476,61.05714044
Rural,South,44.0,3003.0,5.0,34455.0,0.256,9.047325895,58.09677141
Rural,Midwest,15.0,246.0,2.0,60464.0,0.049,4.820779826,56.19127003
Suburban,Midwest,1.0,4308.0,7.0,82685.0,0.069,7.445507747,58.30350595
Rural,Midwest,9.0,758.0,3.0,73875.0,0.069,7.067051659,60.21061882
Rural,Midwest,8.0,467.0,4.0,56818.0,0.113,6.267090574,55.2011329
Rural,South,58.0,3030.0,9.0,53168.0,0.12300000000000001,6.729615146,55.4963058
Suburban,Northeast,7.0,1004.0,2.0,97661.0,0.039,6.378004561,72.95077811
Town,West,23.0,1706.0,4.0,61635.0,0.158,4.118867075,67.41856029
Rural,Midwest,20.0,889.0,2.0,57425.0,0.124,4.642973418,53.36704664
Town,Midwest,8.0,521.0,1.0,58939.0,0.182,9.074188417,62.16806285
Urban,Midwest,60.0,6527.0,14.0,71884.0,0.086,8.290888496,58.17308973
Rural,South,23.0,955.0,3.0,43313.0,0.264,7.57145607,56.22997555
Suburban,Northeast,5.0,2396.0,5.0,109375.0,0.057999999999999996,6.731953727,59.16536875
Town,South,25.0,1104.0,3.0,90151.0,0.054000000000000006,8.357456379,62.52397535
Rural,Midwest,24.0,1090.0,3.0,79865.0,0.042,7.024516565,60.08466728
Town,West,21.0,3724.0,8.0,123677.0,0.042,3.462972648,62.60709628
Rural,South,15.0,408.0,1.0,40719.0,0.168,9.365803311,60.24095209
Rural,Midwest,7.0,176.0,1.0,62750.0,0.128,7.144929494,60.25804776
Rural,South,58.0,3074.0,5.0,44907.0,0.21100000000000002,8.853090879,58.37106818
Rural,South,49.0,2900.0,7.0,45236.0,0.182,8.796837929,57.9434914
Urban,Midwest,326.0,51754.0,111.0,60157.0,0.146,7.504845515,56.2397537
Rural,Midwest,7.0,315.0,3.0,60568.0,0.138,8.573289239,56.37300965
Rural,Northeast,9.0,269.0,1.0,45893.0,0.158,5.92778581,53.45150696
Town,Midwest,10.0,1630.0,3.0,34473.0,0.341,8.053153393,55.75651632
Rural,West,9.0,1651.0,6.0,56125.0,0.19699999999999998,7.967528444,70.39321679
Urban,South,2.0,2310.0,4.0,86488.0,0.052000000000000005,9.522932906,59.78987917
Rural,West,5.0,112.0,1.0,42679.0,0.257,6.208120548,58.13997
Suburban,Midwest,13.0,1101.0,4.0,35714.0,0.307,8.716725754,61.19759962
Suburban,South,39.0,3434.0,4.0,90544.0,0.044000000000000004,8.104444757,59.93473156
Town,Midwest,8.0,503.0,1.0,50000.0,0.162,4.656413869,54.96240297
Rural,Midwest,8.0,779.0,4.0,67429.0,0.07200000000000001,6.046470635,61.41032537
Rural,South,20.0,589.0,2.0,39297.0,0.191,8.661052189,59.13176876
Rural,West,2.0,54.0,1.0,61500.0,0.134,5.983906027,62.86134
Rural,Midwest,9.0,162.0,2.0,73750.0,0.015,4.784876691,55.2894628
Rural,Midwest,4.0,223.0,2.0,58182.0,0.11800000000000001,7.010891738,55.59823417
Rural,West,6.0,341.0,4.0,58125.0,0.152,5.629887208,47.09355149
Town,South,15.0,1424.0,5.0,41073.0,0.166,9.140301026,55.59869829
Rural,West,6.0,743.0,1.0,120515.0,0.055999999999999994,5.516370712,60.34036
Rural,Midwest,8.0,748.0,3.0,79265.0,0.035,8.032516627,55.71841654
Town,West,65.0,3082.0,9.0,53411.0,0.138,7.17013753,44.09130202
Rural,South,149.0,8717.0,15.0,43865.0,0.201,8.691731611,59.71962781
Suburban,South,292.0,25787.0,44.0,104708.0,0.05,7.939796315,62.74153582
Rural,Midwest,21.0,1613.0,4.0,74534.0,0.073,8.841902963,59.53178099
Suburban,Northeast,10.0,1309.0,3.0,104892.0,0.081,8.920696564,64.15384932
Suburban,Midwest,10.0,1484.0,1.0,78303.0,0.044000000000000004,8.801736773,61.81611393
Rural,Midwest,48.0,1563.0,7.0,64515.0,0.09,8.299600117,59.78667377
Rural,Midwest,7.0,267.0,2.0,52014.0,0.248,8.371428495,57.99433329
Suburban,Midwest,17.0,5132.0,9.0,83474.0,0.035,8.237182733,58.09214421
Rural,Midwest,12.0,1200.0,3.0,52348.0,0.163,6.443150978,59.89921494
Rural,Midwest,2.0,39.0,1.0,65000.0,0.061,7.022914521,59.07962
Rural,South,17.0,1622.0,4.0,48891.0,0.165,9.914340586,55.38791144
Town,South,12.0,619.0,3.0,52885.0,0.149,7.358247325,59.39005343
Rural,South,23.0,1104.0,3.0,63901.0,0.16899999999999998,8.936647931,62.97898711
Town,Midwest,14.0,1214.0,4.0,57003.0,0.11800000000000001,6.717020524,57.82334421
Urban,Midwest,1483.0,321666.0,644.0,65781.0,0.171,9.965035874,65.99300328
Suburban,Northeast,10.0,1604.0,2.0,50614.0,0.155,4.518017047,52.10038613
Town,South,26.0,2385.0,6.0,55463.0,0.17,7.553637365,60.19260584
Rural,Northeast,2.0,93.0,1.0,34141.0,0.272,3.927057068,53.80711
Rural,Midwest,1.0,645.0,2.0,72115.0,0.065,7.360650839,58.62789967
Rural,Midwest,8.0,389.0,2.0,67788.0,0.07200000000000001,8.467585761,58.81303248
Suburban,Northeast,10.0,2102.0,4.0,86502.0,0.10300000000000001,9.013876742,65.20795477
Rural,Midwest,5.0,314.0,2.0,63681.0,0.040999999999999995,7.232573876,55.19676586
Rural,South,67.0,2964.0,9.0,39862.0,0.183,8.098595318,61.2490735
Rural,Northeast,22.0,729.0,3.0,68604.0,0.10400000000000001,6.620967205,55.98609348
Rural,Midwest,32.0,1539.0,5.0,75417.0,0.07200000000000001,9.216131438,60.45683099
Rural,South,20.0,1179.0,3.0,70714.0,0.159,8.622374202,60.52559023
Rural,Midwest,12.0,392.0,2.0,63778.0,0.126,5.528004738,55.71411372
Town,South,42.0,3788.0,7.0,40048.0,0.209,8.254884458,63.11654028
Rural,Midwest,18.0,1072.0,3.0,81197.0,0.062,8.580377534,61.30396
Rural,South,13.0,254.0,1.0,128281.0,0.034,7.098245506,65.10508321
Rural,West,2.0,33.0,1.0,46607.0,0.11800000000000001,4.011223047,61.69273205
Town,Midwest,6.0,2775.0,12.0,64140.0,0.1,5.442724548,59.32517557
Rural,Midwest,1.0,630.0,2.0,95515.0,0.052000000000000005,8.447359706,61.20780992
Suburban,West,55.0,9450.0,14.0,47150.0,0.23,7.264116804,67.99583436
Town,Midwest,19.0,607.0,2.0,60294.0,0.11199999999999999,4.914181667,54.46030455
Rural,Midwest,15.0,756.0,3.0,67452.0,0.049,8.477488634,60.56513815
Suburban,West,17.0,6474.0,10.0,100000.0,0.063,8.183012495,67.04351715
Urban,West,49.0,3670.0,9.0,56821.0,0.126,9.257885957,55.81212645
Rural,Midwest,24.0,1406.0,2.0,49193.0,0.151,8.4588113,57.86153864
Suburban,West,20.0,871.0,3.0,78427.0,0.131,9.849160875,58.15490299
Rural,West,8.0,185.0,3.0,51709.0,0.135,3.703538466,55.32052
Rural,Midwest,5.0,71.0,2.0,66750.0,0.052000000000000005,5.480441568,54.60924492
Rural,South,18.0,817.0,5.0,51528.0,0.11,7.240693714,59.8867546
Suburban,Midwest,27.0,4596.0,8.0,58619.0,0.11199999999999999,7.503198575,55.77622303
Rural,South,43.0,2157.0,7.0,42260.0,0.20800000000000002,6.530839976,55.07189768
Rural,South,28.0,3960.0,12.0,53648.0,0.16699999999999998,7.92266977,59.91832441
Rural,Midwest,24.0,1108.0,2.0,65890.0,0.078,8.650639558,60.57383712
Rural,Midwest,11.0,1719.0,5.0,53988.0,0.128,6.309558002,55.72178629
Suburban,Midwest,14.0,3061.0,8.0,73180.0,0.077,8.306423017,60.59866098
Town,Midwest,17.0,2059.0,5.0,47255.0,0.161,8.488870093,63.42479464
Town,Midwest,20.0,1439.0,2.0,59726.0,0.11,9.2088714,59.13746689
Suburban,South,112.0,18650.0,36.0,69769.0,0.105,6.830241112,57.48728091
Town,South,24.0,1347.0,4.0,64136.0,0.105,5.850042551,61.51520991
Suburban,Midwest,56.0,3477.0,12.0,111814.0,0.047,8.795712487,58.84529521
Rural,Midwest,6.0,206.0,2.0,57269.0,0.251,8.053384991,62.48519559
Town,West,74.0,5753.0,14.0,55464.0,0.129,7.406951404,50.0158525
Rural,Northeast,1.0,231.0,1.0,128929.0,0.124,7.612340811,62.07790137
Suburban,Midwest,26.0,3108.0,5.0,99276.0,0.019,7.981358748,54.95037807
Rural,Northeast,41.0,1231.0,3.0,58125.0,0.133,6.66848498,55.01894644
Town,South,32.0,2114.0,5.0,43244.0,0.14300000000000002,8.81157153,58.28656979
Suburban,Midwest,11.0,2229.0,6.0,61741.0,0.083,8.442026792,57.8900156
Rural,South,13.0,506.0,2.0,68250.0,0.155,8.488753636,62.75158592
Rural,South,3.0,112.0,1.0,62833.0,0.086,8.699751067,60.50359725
Rural,Midwest,6.0,1010.0,5.0,53328.0,0.14300000000000002,4.713276911,55.03810402
Rural,South,15.0,504.0,3.0,55807.0,0.192,6.097565205,56.01636
Rural,Midwest,8.0,654.0,3.0,64395.0,0.086,8.564556331,59.71568172
Town,West,34.0,3311.0,14.0,70315.0,0.134,4.341959467,55.00437753
Suburban,Midwest,26.0,1775.0,4.0,70417.0,0.102,8.480063781,60.49901
Rural,South,61.0,2481.0,7.0,47215.0,0.10800000000000001,7.013206129,57.72489579
Town,Midwest,12.0,1257.0,4.0,79267.0,0.045,8.515122482,57.5997124
Rural,West,31.0,1238.0,6.0,68026.0,0.098,3.438922247,55.65789611
Rural,Midwest,8.0,392.0,2.0,70964.0,0.16,8.789152063,58.73690887
Rural,West,20.0,534.0,3.0,44510.0,0.213,3.641534684,62.87150196
Rural,South,8.0,431.0,3.0,43378.0,0.198,8.402438021,57.96275339
Rural,West,4.0,59.0,1.0,64205.0,0.14400000000000002,3.61374389,63.57568
Suburban,South,88.0,16491.0,22.0,49210.0,0.263,10.6066379,54.51578396
Suburban,Midwest,25.0,2104.0,3.0,88118.0,0.07,10.36856843,65.84949424
Town,South,37.0,1181.0,3.0,54375.0,0.161,7.043600696,57.18919996
Town,South,47.0,2442.0,6.0,37014.0,0.261,7.523749274,56.12757706
Town,Midwest,13.0,1147.0,4.0,51861.0,0.12,6.270705827,56.83774344
Urban,Northeast,2.0,16158.0,21.0,99791.0,0.094,8.098446858,75.60610969
Town,West,17.0,4748.0,11.0,65089.0,0.21600000000000003,4.545472201,57.81829898
Rural,Midwest,6.0,238.0,2.0,64022.0,0.066,7.530690264,56.19676039
Town,South,93.0,11313.0,11.0,43367.0,0.217,8.972293898,65.48192099
Rural,Midwest,14.0,590.0,5.0,78281.0,0.08,7.790177984,59.2628313
Suburban,Midwest,17.0,2051.0,3.0,78929.0,0.065,7.401375438,55.91272347
Rural,Midwest,11.0,1082.0,2.0,83553.0,0.033,5.692137527,58.21504506
Rural,Midwest,26.0,1068.0,3.0,60346.0,0.185,8.705051231,63.08197257
Town,West,13.0,837.0,3.0,56811.0,0.13,3.074963553,56.8328044
Town,South,46.0,5294.0,16.0,46110.0,0.19,7.440088371,59.41774048
Rural,West,6.0,125.0,3.0,71250.0,0.098,5.043578966,52.05707653
Rural,Midwest,10.0,184.0,2.0,44904.0,0.039,5.604398684,58.63264291
Rural,Midwest,10.0,643.0,3.0,59303.0,0.083,8.448569729999999,56.13856938
Rural,Midwest,16.0,534.0,2.0,80052.0,0.08800000000000001,7.673140711,61.61137132
Rural,West,10.0,261.0,4.0,67143.0,0.086,7.7870607,55.4379648
Rural,Midwest,9.0,406.0,4.0,106719.0,0.075,4.222667937,57.96422919
Rural,Midwest,9.0,910.0,3.0,78105.0,0.04,7.505694494,61.42183186
Suburban,Northeast,1.0,73.0,1.0,89653.0,0.08900000000000001,6.576781918,61.54452
Rural,South,21.0,1172.0,3.0,55974.0,0.122,8.731572808,60.73788429
Suburban,South,5.0,3127.0,5.0,89000.0,0.055,9.706996123,65.41067334
Town,Midwest,10.0,976.0,3.0,72528.0,0.028999999999999998,5.867898609,61.73123058
Town,Midwest,20.0,1456.0,4.0,82957.0,0.039,8.678683773,58.63116543
Urban,Midwest,135.0,10683.0,13.0,58731.0,0.135,10.16021935,63.1048167
Town,West,84.0,12739.0,18.0,56308.0,0.153,4.18552028,60.64657412
Rural,Northeast,64.0,2078.0,5.0,65380.0,0.109,6.327559921,56.09855816
Rural,South,71.0,3575.0,5.0,41605.0,0.262,9.356085768,59.90065041
Suburban,Northeast,62.0,3945.0,7.0,185188.0,0.025,7.719939125,69.79580476
Rural,Northeast,2.0,131.0,1.0,73906.0,0.04,4.037102603,56.20542
Rural,West,5.0,196.0,1.0,49306.0,0.122,6.360360136,53.3639923
Town,West,30.0,3312.0,8.0,71749.0,0.099,3.347211578,55.11138397
Suburban,Northeast,10.0,1428.0,4.0,93045.0,0.043,9.039109031,65.10988757
Suburban,South,7.0,4409.0,6.0,150268.0,0.04,10.2722528,66.30700685
Suburban,Northeast,36.0,2200.0,2.0,121032.0,0.037000000000000005,8.203597555,65.7744325
Suburban,Midwest,62.0,5684.0,7.0,108855.0,0.037000000000000005,9.977523522,67.79572932
Rural,West,4.0,53.0,3.0,47639.0,0.153,4.810830907,61.37274294
Town,Midwest,17.0,1032.0,3.0,61607.0,0.19699999999999998,8.109523502,55.90068891
Rural,Midwest,8.0,489.0,2.0,75579.0,0.027999999999999997,8.507698886,60.36042017
Town,Midwest,26.0,3041.0,5.0,40263.0,0.248,8.583423778,57.73617073
Suburban,Midwest,14.0,2341.0,7.0,59910.0,0.12300000000000001,10.21458028,63.6094107
Suburban,Midwest,27.0,2132.0,6.0,90989.0,0.071,8.505809596,57.73591953
Suburban,Midwest,44.0,3977.0,6.0,74200.0,0.09699999999999999,9.030904675,60.4066616
Rural,Midwest,9.0,200.0,2.0,62500.0,0.065,5.539973959,55.31171296
Suburban,Midwest,51.0,5535.0,8.0,93118.0,0.046,8.925798029,59.9289646
Rural,Midwest,9.0,175.0,2.0,68295.0,0.099,4.857704326,58.46156354
Suburban,Midwest,53.0,5101.0,5.0,137872.0,0.024,9.637315596,61.9499461
Rural,Midwest,17.0,941.0,3.0,77321.0,0.053,8.596911635,59.46784795
Rural,South,7.0,230.0,2.0,68333.0,0.11900000000000001,8.482561934,63.72889709
Town,Northeast,2.0,2235.0,4.0,56531.0,0.124,6.503240476,55.67974705
Rural,Midwest,14.0,377.0,2.0,62679.0,0.151,7.64461784,58.83350271
Rural,Midwest,9.0,687.0,3.0,74327.0,0.048,7.635730983,60.37245991
Rural,South,129.0,7204.0,18.0,48284.0,0.16399999999999998,9.355532576,61.16114129
Rural,Midwest,7.0,185.0,2.0,49449.0,0.17300000000000001,6.671644172,59.0163118
Rural,West,3.0,88.0,2.0,42031.0,0.33799999999999997,4.031432863,55.02317314
Rural,Midwest,8.0,408.0,3.0,60054.0,0.126,6.889452905,55.39857019
Town,Midwest,16.0,1217.0,3.0,58496.0,0.135,8.530495473,62.5043563
Rural,West,10.0,406.0,1.0,73750.0,0.136,7.756390899,48.13824073
Town,Midwest,23.0,1864.0,7.0,49728.0,0.187,8.040677456,58.5147784
Rural,Northeast,6.0,198.0,1.0,56625.0,0.038,4.332482959,51.71228
Rural,South,3.0,117.0,1.0,95750.0,0.052000000000000005,7.947934623,61.94786594
Town,West,14.0,1096.0,4.0,47961.0,0.166,3.92158447,62.34679359
Suburban,West,20.0,5811.0,10.0,107299.0,0.07,11.40241946,76.48435384
Suburban,Midwest,52.0,5854.0,9.0,73500.0,0.068,9.689678188,60.95107162
Town,Midwest,10.0,603.0,2.0,24082.0,0.44299999999999995,7.91221722,58.2730838
Suburban,South,113.0,17463.0,23.0,80570.0,0.062,8.278714909,62.93499575
Suburban,South,49.0,3900.0,5.0,88533.0,0.043,9.339316604,69.70200789
Rural,South,14.0,848.0,2.0,67500.0,0.152,8.666414521,61.78729
Suburban,Midwest,14.0,1370.0,4.0,41088.0,0.218,8.310036147,60.97386055
Suburban,West,22.0,2518.0,10.0,55038.0,0.139,7.381646315,53.30417067
Town,South,14.0,1056.0,3.0,43310.0,0.09699999999999999,9.025341285,56.6504512
Town,Midwest,4.0,340.0,2.0,42017.0,0.19399999999999998,8.817737971,61.31557398
Rural,West,3.0,27.0,1.0,38750.0,0.187,5.296614671,53.06577869
Rural,South,69.0,6925.0,11.0,73451.0,0.107,9.021536172,65.83613844
Rural,Midwest,42.0,3061.0,7.0,84187.0,0.067,8.494994906,59.30390214
Town,Northeast,35.0,4533.0,9.0,37382.0,0.273,6.99976305,56.11180765
Suburban,Northeast,73.0,4679.0,6.0,88771.0,0.055,6.755668545,58.1839273
