1p. Locale broad type (name),1q. Census Region,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration,5b. Percent non-white and/or Hispanic,0a. Has committed ESBs?
Suburban,West,No,16.0,98.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,2.0,521.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,154.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,265.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,95.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,324.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,633.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,474.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,358.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,355.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,463.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,255.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1077.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,603.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,542.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,744.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,87.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,395.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,382.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,432.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,477.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,366.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,86.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,276.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,324.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1106.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,75.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1531.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,370.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,238.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,84.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,784.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,308.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,424.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,477.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,276.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,474.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,79.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,350.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,248.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,352.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,538.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1606.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,454.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,458.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,177.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,919.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,298.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,2.0,246.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,285.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,279.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,416.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,407.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,4700.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,535.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,755.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,39.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,24.0,779.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,245.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,3058.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,495.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,170.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,524.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,543.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,214.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,216.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,162.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,532.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,461.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,123.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,224.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,321.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,125.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,159.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,224.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,297.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,272.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1184.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,583.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,415.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,48.0,18354.0,31.0,94771.0,0.078,11.18617094,63.5210037,0.844386725,0.0
Urban,West,No,16.0,437.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,336.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,917.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,2023.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,278.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,467.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1189.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,3048.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,384.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,240.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,139.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,230.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,143.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,455.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,515.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,394.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,194.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,143.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,242.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,607.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,53.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,939.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,775.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,442.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,472.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,5420.0,5.0,143534.0,0.043,7.684036589,55.73059742,0.341820992,0.0
Urban,West,No,16.0,374.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1426.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,387.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,529.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,604.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,306.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1328.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,161.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,382.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,398.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,566.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,611.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,517.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,150.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,314.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,502.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,520.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,680.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,77.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1567.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,102.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,510.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,596.0,1.0,83289.0,0.11800000000000001,6.43087828,70.60464451,0.227804505,0.0
Suburban,West,No,16.0,148.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,342.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,704.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,359.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,303.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,531.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,262.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,136.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,83.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,339.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,183.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,472.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,400.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1258.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,551.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,164.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,478.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,399.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,141.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1497.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,364.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,505.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,492.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1346.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,694.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,579.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,349.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,363.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,319.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,108.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,41.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,324.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,631.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,5407.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,483.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,453.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,185.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,562.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,339.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,133.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,375.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,913.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1044.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,593.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1508.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,375.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,773.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,480.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,463.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,122.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,7.0,294.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,398.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,624.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,2295.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,669.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,325.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,2138.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,238.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,306.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,119.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,260.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,183.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,56.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,521.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,643.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,712.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,993.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,77.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,956.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1013.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,330.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,281.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,461.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1283.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,561.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,787.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,454.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,426.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,376.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,407.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,289.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,346.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,459.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,536.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,429.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,419.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,936.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,416.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,743.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,493.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,278.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,742.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,432.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,616.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,235.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1279.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,498.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,888.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,413.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,449.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,312.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,796.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,215.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,360.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,539.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,484.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,334.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,770.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,1009.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,50.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,345.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
